Date,Spread,Mcap,Value,P/E,Close,Volatility,30y_yield
11/12/15,1.45,17.32M,2.7116,18.195,2012.37,15.17,2.8709
04/12/15,1.44,17.985M,2.8184,18.9138,2091.69,14.1,3.0095
27/11/15,1.43,17.979M,2.8147,18.8783,2090.11,12.44,2.9968
20/11/15,1.41,17.978M,2.8136,18.8712,2089.17,13.48,3.0199
13/11/15,1.39,17.401M,2.7189,18.2934,2023.04,12.38,3.0519
06/11/15,1.38,18.059M,2.8217,18.978,2099.2,12.59,3.0853
30/10/15,1.39,17.909M,2.8077,18.8321,2079.36,15.82,2.9222
23/10/15,1.41,17.92M,2.8021,18.8008,2075.15,16.79,2.9008
16/10/15,1.4,17.575M,2.7455,18.4193,2033.11,18.02,2.8812
09/10/15,1.37,17.416M,2.7208,18.2535,2014.89,21.18,2.9174
02/10/15,1.35,16.855M,2.6319,17.6819,1951.36,27.59,2.8274
